Scheme Name,Plan,Category Name,Crisil Rank,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
LIC MF Flexi Cap Fund - Growth,Regular,Flexi Cap Fund,3,844.20,1%,0%,5%,14%,19%,17%,6%,15%,13%,11%
Union Midcap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,3,837.77,2%,2%,8%,21%,25%,23%,11%,30%,,
Union Midcap Fund - Regular Plan - Growth,Regular,Mid Cap Fund,3,837.77,2%,2%,7%,20%,24%,21%,9%,28%,,
Baroda BNP Paribas Large and Mid Cap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,3,824.65,2%,2%,6%,16%,18%,18%,8%,24%,,
Baroda BNP Paribas Large and Mid Cap Fund - Regular Plan - Growth,Regular,Large & Mid Cap Fund,3,824.65,2%,2%,5%,15%,17%,16%,6%,22%,,
Edelweiss Crisil IBX 50:50 Gilt Plus SDL April 2037 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,800.11,0%,1%,1%,1%,7%,8%,,,,
Edelweiss Crisil IBX 50:50 Gilt Plus SDL April 2037 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,800.11,0%,1%,1%,1%,6%,7%,,,,
Axis Gold ETF Fund,Regular,Index Funds/ETFs,-,791.70,0%,5%,3%,1%,9%,13%,10%,5%,14%,6%
Invesco India Largecap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,3,785.59,1%,1%,3%,13%,16%,14%,5%,19%,16%,16%
Invesco India Largecap Fund - Growth,Regular,Large Cap Fund,3,785.59,1%,1%,3%,12%,15%,12%,3%,17%,14%,14%
DSP Nifty 50 Equal Weight Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,752.26,2%,1%,5%,14%,17%,15%,10%,24%,16%,
DSP Nifty 50 Equal Weight Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,752.26,2%,1%,5%,14%,16%,14%,9%,23%,15%,
Samco Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,737.95,2%,0%,3%,16%,18%,15%,,,,
Samco Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,-,737.95,2%,0%,3%,15%,17%,14%,,,,
Bank of India Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,3,723.41,3%,4%,16%,32%,37%,37%,18%,39%,,
Bank of India Small Cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,3,723.41,3%,4%,16%,31%,36%,35%,17%,36%,,
Nippon India Nifty Smallcap 250 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,719.41,3%,4%,14%,33%,36%,36%,15%,35%,,
Nippon India Nifty Smallcap 250 Index Fund - Growth,Regular,Index Funds/ETFs,-,719.41,3%,4%,14%,33%,35%,36%,14%,34%,,
JM Flexi Cap Fund - Direct - Growth,Direct Plan,Flexi Cap Fund,5,717.77,2%,2%,8%,25%,28%,28%,16%,28%,21%,20%
JM Flexi Cap Fund - Growth,Regular,Flexi Cap Fund,5,717.77,2%,2%,8%,24%,27%,27%,15%,27%,20%,19%
LIC MF Nifty 50 ETF,Regular,Index Funds/ETFs,3,717.30,1%,0%,1%,8%,10%,8%,5%,17%,14%,
HDFC Nifty50 Equal Weight Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,717.04,2%,1%,5%,14%,17%,15%,10%,,,
HDFC Nifty50 Equal Weight Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,717.04,2%,1%,5%,14%,16%,14%,9%,,,
LIC MF S&P BSE Sensex ETF,Regular,Index Funds/ETFs,3,672.84,1%,1%,1%,6%,9%,7%,5%,16%,14%,
Navi NASDAQ 100 Fund of Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,670.83,3%,5%,4%,19%,46%,37%,,,,
Navi NASDAQ 100 Fund of Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,670.83,3%,5%,4%,19%,46%,37%,,,,
Aditya Birla Sun Life Nifty 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,3,627.73,1%,0%,1%,8%,10%,8%,5%,17%,14%,13%
Aditya Birla Sun Life Nifty 50 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,3,627.73,1%,0%,1%,8%,9%,7%,5%,16%,14%,13%
HDFC Nifty G-Sec Jun 2036 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,613.77,0%,1%,1%,1%,,,,,,
HDFC Nifty G-Sec Jun 2036 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,613.77,0%,1%,1%,1%,,,,,,
UTI Gold Exchange Traded Fund,Regular,Index Funds/ETFs,-,595.84,0%,5%,3%,1%,9%,13%,10%,5%,13%,7%
LIC MF Nifty 100 ETF,Regular,Index Funds/ETFs,-,592.34,1%,0%,2%,9%,9%,6%,4%,16%,14%,
Mirae Asset S&P 500 Top 50 ETF - Regular Plan - Growth,Regular,Index Funds/ETFs,-,559.39,2%,4%,4%,15%,32%,27%,6%,,,
Edelweiss Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,4,557.48,1%,1%,4%,12%,16%,15%,9%,19%,16%,16%
Edelweiss Large Cap Fund - Growth,Regular,Large Cap Fund,4,557.48,1%,1%,3%,11%,15%,13%,7%,17%,15%,14%
Motilal Oswal Nifty 500 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,548.29,1%,1%,4%,13%,14%,12%,7%,20%,,
Motilal Oswal Nifty 500 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,548.29,1%,1%,4%,13%,13%,11%,6%,19%,,
Franklin India NSE Nifty 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,1,539.91,1%,0%,1%,8%,9%,8%,5%,16%,14%,13%
Union Large and Mid Cap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,3,539.20,2%,1%,6%,17%,19%,17%,7%,22%,,
Union Large and Mid Cap Fund - Regular Plan - Growth,Regular,Large & Mid Cap Fund,3,539.20,2%,1%,5%,16%,18%,16%,6%,20%,,
JM Midcap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,-,536.63,2%,1%,8%,30%,37%,,,,,
JM Midcap Fund - Regular Plan - Growth,Regular,Mid Cap Fund,-,536.63,2%,1%,8%,29%,34%,,,,,
Nippon India Index Fund - Direct Plan - S&P BSE Sensex Plan - Growth,Direct Plan,Index Funds/ETFs,3,535.53,1%,1%,1%,6%,9%,7%,5%,16%,14%,13%
Nippon India Index Fund - S&P BSE Sensex Plan - Growth,Regular,Index Funds/ETFs,3,535.53,1%,1%,1%,6%,9%,7%,5%,15%,14%,13%
NJ Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,-,529.73,2%,4%,,,,,,,,
NJ Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,529.73,2%,4%,,,,,,,,
ICICI Prudential Nifty Alpha Low Volatility 30 ETF,Regular,Index Funds/ETFs,-,526.49,2%,4%,8%,15%,22%,19%,9%,19%,,
HDFC Nifty G-Sec Sep 2032 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,524.65,0%,1%,1%,2%,7%,,,,,
HDFC Nifty G-Sec Sep 2032 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,524.65,0%,1%,1%,2%,7%,,,,,
Tata Nifty 50 Exchange Traded Fund,Regular,Index Funds/ETFs,3,523.39,1%,0%,1%,8%,10%,8%,5%,17%,,
ITI Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,-,522.47,2%,3%,10%,25%,28%,28%,11%,,,
ITI Mid Cap Fund - Regular Plan - Growth,Regular,Mid Cap Fund,-,522.47,2%,3%,10%,24%,26%,25%,9%,,,
Nippon India Nifty G-Sec June 2036 Maturity Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,514.54,0%,1%,1%,1%,7%,,,,,
Nippon India Nifty G-Sec June 2036 Maturity Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,514.54,0%,1%,1%,1%,7%,,,,,
Mirae Asset Nifty Midcap 150 ETF,Regular,Index Funds/ETFs,-,509.19,2%,2%,9%,26%,30%,30%,,,,
SBI Nifty Next 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,507.29,1%,3%,6%,14%,10%,7%,3%,,,
SBI Nifty Next 50 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,507.29,1%,3%,5%,13%,10%,7%,2%,,,
Tata Nifty 50 Index Fund - Direct Plan,Direct Plan,Index Funds/ETFs,2,489.08,1%,0%,1%,8%,10%,8%,5%,17%,14%,13%
Tata Nifty 50 Index Fund - Regular Plan,Regular,Index Funds/ETFs,2,489.08,1%,0%,1%,8%,9%,7%,5%,16%,14%,13%
UTI Nifty Next 50 Exchange Traded Fund,Regular,Index Funds/ETFs,-,482.39,1%,3%,6%,14%,11%,7%,3%,17%,12%,
PGIM India Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,2,475.82,1%,0%,1%,8%,11%,10%,5%,16%,14%,14%
PGIM India Large Cap Fund - Growth,Regular,Large Cap Fund,2,475.82,1%,0%,1%,7%,10%,9%,3%,14%,12%,13%
Motilal Oswal Nifty Microcap 250 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,461.47,3%,5%,17%,,,,,,,
Motilal Oswal Nifty Microcap 250 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,461.47,3%,5%,17%,,,,,,,
Motilal Oswal Nifty Smallcap 250 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,452.79,3%,4%,14%,33%,36%,37%,15%,35%,,
Motilal Oswal Nifty Smallcap 250 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,452.79,3%,4%,14%,33%,35%,36%,14%,34%,,
HDFC S&P BSE Sensex ETF,Regular,Index Funds/ETFs,3,448.22,1%,1%,1%,7%,9%,8%,5%,16%,15%,
ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF,Regular,Index Funds/ETFs,-,446.52,0%,1%,1%,2%,6%,,,,,
Aditya Birla Sun Life Nifty ETF,Regular,Index Funds/ETFs,4,442.78,1%,0%,1%,8%,10%,8%,5%,17%,14%,14%
Axis Nifty 50 ETF,Regular,Index Funds/ETFs,3,440.67,1%,0%,1%,8%,10%,8%,5%,17%,14%,
Bank of India Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,4,426.96,3%,4%,12%,23%,26%,26%,13%,28%,,
Bank of India Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,4,426.96,3%,4%,12%,23%,24%,24%,11%,26%,,
Motilal Oswal Nifty Bank Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,424.86,1%,0%,0%,1%,3%,5%,7%,16%,,
Motilal Oswal Nifty Bank Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,424.86,1%,0%,0%,1%,3%,4%,7%,15%,,
ICICI Prudential Nifty IT ETF,Regular,Index Funds/ETFs,-,408.14,2%,1%,2%,13%,12%,7%,6%,15%,,
ITI Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,407.72,2%,4%,7%,21%,,,,,,
ITI Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,-,407.72,2%,3%,7%,20%,,,,,,
Aditya Birla Sun Life S&P BSE SENSEX ETF,Regular,Index Funds/ETFs,4,404.99,1%,1%,1%,7%,9%,8%,5%,16%,14%,
DSP Nifty 50 Index Fund - Direct - Growth,Direct Plan,Index Funds/ETFs,3,404.81,1%,0%,1%,8%,10%,8%,5%,17%,,
DSP Nifty 50 Index Fund - Regular - Growth,Regular,Index Funds/ETFs,3,404.81,1%,0%,1%,8%,9%,8%,5%,16%,,
Navi Nifty Bank Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,403.16,1%,0%,0%,1%,3%,5%,,,,
Navi Nifty Bank Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,403.16,1%,0%,0%,0%,3%,4%,,,,
Kotak Nifty 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,391.77,1%,0%,1%,8%,10%,8%,5%,,,
Kotak Nifty 50 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,391.77,1%,0%,1%,8%,9%,7%,5%,,,
Nippon India Nifty 50 Value 20 Index Fund - Direct - Growth,Direct Plan,Index Funds/ETFs,-,387.77,2%,0%,4%,12%,16%,15%,9%,,,
Nippon India Nifty 50 Value 20 Index Fund - Regular - Growth,Regular,Index Funds/ETFs,-,387.77,2%,0%,4%,11%,16%,14%,8%,,,
SBI Nifty Private Bank ETF,Regular,Index Funds/ETFs,-,362.80,1%,0%,1%,4%,6%,7%,8%,14%,,
HDFC Nifty Next 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,356.01,1%,3%,6%,13%,10%,7%,3%,,,
HDFC Nifty Next 50 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,356.01,1%,3%,5%,13%,10%,6%,2%,,,
ICICI Prudential Nifty Next 50 ETF,Regular,Index Funds/ETFs,-,351.00,1%,3%,6%,14%,11%,7%,3%,17%,12%,
WhiteOak Capital Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,-,343.02,1%,1%,4%,11%,13%,,,,,
WhiteOak Capital Large Cap Fund - Regular Plan - Growth,Regular,Large Cap Fund,-,343.02,1%,1%,3%,10%,12%,,,,,
Motilal Oswal Nifty 50 Index Fund - Direct plan - Growth,Direct Plan,Index Funds/ETFs,2,334.30,1%,0%,1%,8%,10%,8%,5%,17%,,
Motilal Oswal Nifty 50 Index Fund - Regular plan - Growth,Regular,Index Funds/ETFs,2,334.30,1%,0%,1%,8%,9%,7%,5%,16%,,
SBI Nifty Smallcap 250 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,331.84,3%,4%,14%,33%,36%,37%,,,,
SBI Nifty Smallcap 250 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,331.84,3%,4%,14%,33%,35%,36%,,,,
Quant Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,-,322.80,1%,1%,6%,16%,13%,12%,,,,
Quant Large Cap Fund - Regular Plan - Growth,Regular,Large Cap Fund,-,322.80,1%,1%,5%,15%,12%,10%,,,,
Bandhan Crisil IBX Gilt April 2032 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,320.96,0%,1%,1%,2%,,,,,,
Bandhan Crisil IBX Gilt April 2032 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,320.96,0%,1%,1%,2%,,,,,,
Axis Nifty 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,319.00,1%,0%,1%,8%,10%,8%,,,,
Axis Nifty 50 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,319.00,1%,0%,1%,8%,9%,8%,,,,
HDFC Nifty Private Bank ETF,Regular,Index Funds/ETFs,-,313.37,1%,0%,1%,4%,6%,,,,,
Motilal Oswal Nifty Midcap 100 ETF,Regular,Index Funds/ETFs,-,303.07,2%,2%,10%,27%,32%,33%,14%,32%,19%,19%
Aditya Birla Sun Life Silver ETF,Regular,Index Funds/ETFs,-,297.36,3%,4%,2%,2%,1%,12%,,,,
DSP Nifty Next 50 Index Fund - Direct - Growth,Direct Plan,Index Funds/ETFs,-,296.89,1%,3%,6%,14%,11%,7%,3%,17%,,
DSP Nifty Next 50 Index Fund - Growth,Regular,Index Funds/ETFs,-,296.89,1%,3%,6%,14%,10%,7%,3%,17%,,
ICICI Prudential Nifty IT Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,290.70,2%,1%,2%,13%,11%,7%,,,,
ICICI Prudential Nifty IT Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,290.70,2%,1%,2%,13%,11%,6%,,,,
Taurus Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,3,276.07,2%,1%,7%,16%,16%,14%,7%,17%,11%,12%
Taurus Flexi Cap Fund - Growth,Regular,Flexi Cap Fund,3,276.07,2%,1%,7%,16%,16%,14%,7%,17%,11%,11%
UTI Crisil SDL Maturity April 2033 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,273.27,0%,0%,1%,2%,6%,,,,,
Mahindra Manulife Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,4,267.27,1%,1%,3%,11%,12%,10%,5%,19%,,
Mahindra Manulife Large Cap Fund - Regular Plan - Growth,Regular,Large Cap Fund,3,267.27,1%,1%,2%,10%,10%,8%,3%,17%,,
Tata S&P BSE Sensex Index Fund - Direct Plan,Direct Plan,Index Funds/ETFs,1,262.47,1%,1%,1%,6%,9%,7%,5%,15%,14%,13%
Tata S&P BSE Sensex Index Fund - Regular Plan,Regular,Index Funds/ETFs,1,262.47,1%,1%,0%,6%,9%,7%,5%,15%,14%,13%
360 ONE Flexicap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,262.30,2%,1%,7%,,,,,,,
360 ONE Flexicap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,-,262.30,2%,1%,7%,,,,,,,
Navi Large & Midcap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,3,256.51,2%,0%,3%,13%,17%,15%,8%,24%,18%,
Navi Large & Midcap Fund - Regular Plan - Growth,Regular,Large & Mid Cap Fund,3,256.51,2%,1%,2%,12%,15%,13%,6%,22%,15%,
Mirae Asset Nifty Financial Services ETF,Regular,Index Funds/ETFs,-,253.41,1%,1%,0%,2%,5%,4%,3%,,,
Union Largecap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,3,247.92,1%,0%,3%,11%,13%,11%,4%,17%,14%,
Union Largecap Fund - Growth,Regular,Large Cap Fund,3,247.92,1%,0%,3%,10%,12%,10%,3%,16%,14%,
ICICI Prudential Nifty Bank Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,246.97,1%,0%,0%,1%,3%,5%,,,,
ICICI Prudential Nifty Bank Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,246.97,1%,0%,0%,0%,3%,4%,,,,
LIC MF Nifty 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,1,245.13,1%,0%,1%,8%,9%,8%,5%,16%,14%,13%
LIC MF Nifty 50 Index Fund - Growth,Regular,Index Funds/ETFs,1,245.13,1%,0%,1%,7%,9%,7%,4%,16%,13%,12%
Bank of India Large & Mid Cap Equity Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,2,229.54,2%,2%,7%,16%,18%,17%,8%,21%,17%,15%
Bank of India Large & Mid Cap Equity Fund - Regular Plan - Growth,Regular,Large & Mid Cap Fund,2,229.54,2%,2%,7%,16%,17%,16%,7%,20%,15%,13%
Navi Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,3,224.90,1%,0%,4%,14%,17%,16%,8%,22%,17%,
Navi Flexi Cap Fund - Growth,Regular,Flexi Cap Fund,3,224.90,1%,0%,3%,13%,16%,14%,6%,19%,14%,
Kotak Silver ETF,Regular,Index Funds/ETFs,-,221.40,4%,5%,3%,0%,3%,,,,,
ICICI Prudential Nifty Midcap 150 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,214.28,2%,2%,9%,26%,30%,30%,,,,
ICICI Prudential Nifty Midcap 150 Index Fund - Growth,Regular,Index Funds/ETFs,-,214.28,2%,2%,9%,25%,29%,29%,,,,
Axis Nifty Bank ETF,Regular,Index Funds/ETFs,-,213.95,1%,0%,0%,1%,4%,5%,8%,16%,,
Mirae Asset Crisil IBX Gilt Index - April 2033 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,212.74,0%,1%,1%,2%,7%,7%,,,,
Mirae Asset Crisil IBX Gilt Index - April 2033 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,212.74,0%,1%,1%,2%,6%,7%,,,,
ICICI Prudential Nifty Midcap 150 ETF,Regular,Index Funds/ETFs,-,211.37,2%,2%,9%,26%,30%,30%,14%,31%,,
Motilal Oswal Nifty 200 Momentum 30 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,206.95,3%,4%,11%,22%,24%,20%,,,,
Motilal Oswal Nifty 200 Momentum 30 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,206.95,3%,4%,11%,21%,24%,19%,,,,
LIC MF Mid cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,2,204.44,2%,4%,10%,23%,26%,23%,7%,23%,16%,
LIC MF Mid cap Fund - Growth,Regular,Mid Cap Fund,2,204.44,2%,4%,9%,23%,25%,22%,7%,22%,15%,
Mirae Asset Hang Seng TECH ETF,Regular,Index Funds/ETFs,-,202.25,2%,6%,2%,7%,0%,11%,,,,
ITI Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,-,199.29,2%,1%,4%,12%,13%,12%,5%,,,
ITI Large Cap Fund - Regular Plan - Growth,Regular,Large Cap Fund,-,199.29,1%,1%,3%,11%,11%,10%,3%,,,
Aditya Birla Sun Life Nifty 50 Equal Weight index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,199.16,2%,1%,5%,14%,17%,15%,10%,,,
Aditya Birla Sun Life Nifty 50 Equal Weight index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,199.16,2%,1%,5%,14%,16%,14%,9%,,,
SBI Nifty Midcap 150 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,198.39,2%,2%,9%,26%,30%,30%,,,,
SBI Nifty Midcap 150 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,198.39,2%,2%,9%,26%,29%,29%,,,,
HSBC Nifty 50 Index Fund - Direct - Growth,Direct Plan,Index Funds/ETFs,2,194.73,1%,0%,2%,8%,10%,8%,5%,17%,,
HSBC Nifty 50 Index Fund - Regular - Growth,Regular,Index Funds/ETFs,2,194.73,1%,0%,1%,8%,9%,7%,5%,16%,,
UTI S&P BSE Low Volatility Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,190.00,1%,1%,3%,14%,17%,19%,,,,
UTI S&P BSE Low Volatility Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,190.00,1%,1%,3%,14%,17%,18%,,,,
ICICI Prudential Nifty Smallcap 250 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,183.04,3%,4%,14%,33%,36%,36%,15%,,,
ICICI Prudential Nifty Smallcap 250 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,183.04,3%,4%,14%,33%,35%,35%,14%,,,
DSP Nifty Midcap 150 Quality 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,179.85,1%,0%,4%,17%,19%,15%,,,,
DSP Nifty Midcap 150 Quality 50 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,179.85,1%,0%,4%,17%,19%,15%,,,,
LIC MF Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,2,168.58,1%,1%,10%,20%,25%,22%,14%,35%,21%,
LIC MF Small Cap Fund - Growth,Regular,Small Cap Fund,2,168.58,1%,1%,10%,20%,24%,21%,13%,34%,20%,
UTI S&P BSE Sensex Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,158.59,1%,1%,1%,6%,9%,7%,,,,
UTI S&P BSE Sensex Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,158.59,1%,1%,1%,6%,9%,7%,,,,
